string_interactions
#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ATF4,ATF2,9606.ENSP00000336790,9606.ENSP00000264110,0,0,0,0,0,0.198,0.900,0.222,0.932
ATF4,STAT3,9606.ENSP00000336790,9606.ENSP00000264657,0,0,0,0,0.049,0.292,0,0.406,0.565
ATF4,IL15,9606.ENSP00000336790,9606.ENSP00000296545,0,0,0,0,0,0,0,0.406,0.406
ATF4,FOS,9606.ENSP00000336790,9606.ENSP00000306245,0,0,0,0,0.055,0.725,0,0.401,0.831
ATF4,PRKACA,9606.ENSP00000336790,9606.ENSP00000309591,0,0,0,0,0,0,0.900,0.291,0.926
ATF4,PRKCA,9606.ENSP00000336790,9606.ENSP00000408695,0,0,0,0,0,0,0.650,0.143,0.687
BRAF,MAPK1,9606.ENSP00000419060,9606.ENSP00000215832,0,0,0,0.586,0.094,0.647,0.700,0.539,0.949
BRAF,SOS 2,9606.ENSP00000419060,9606.ENSP00000216373,0,0,0,0,0.113,0.084,0,0.582,0.631
BRAF,PPP2CB,9606.ENSP00000419060,9606.ENSP00000221138,0,0,0,0,0.049,0.276,0.400,0.116,0.586
BRAF,NFKB1,9606.ENSP00000419060,9606.ENSP00000226574,0,0,0,0,0.051,0.095,0,0.662,0.684
BRAF,IL2,9606.ENSP00000419060,9606.ENSP00000226730,0,0,0,0,0,0,0,0.542,0.542
BRAF,CCND1,9606.ENSP00000419060,9606.ENSP00000227507,0,0,0,0,0,0,0,0.864,0.864
BRAF,IFNG,9606.ENSP00000419060,9606.ENSP00000229135,0,0,0,0,0.049,0,0,0.506,0.510
BRAF,IFNA7,9606.ENSP00000419060,9606.ENSP00000239347,0,0,0,0,0.074,0,0,0.479,0.497
BRAF,RRAS2,9606.ENSP00000419060,9606.ENSP00000256196,0,0,0,0,0.074,0.284,0.900,0.358,0.951
BRAF,CCND2,9606.ENSP00000419060,9606.ENSP00000261254,0,0,0,0,0,0,0,0.600,0.600
BRAF,CREBBP,9606.ENSP00000419060,9606.ENSP00000262367,0,0,0,0,0.062,0.047,0,0.449,0.465
BRAF,MAP2K2,9606.ENSP00000419060,9606.ENSP00000262948,0,0,0,0.575,0.102,0.904,0.900,0.835,0.998
BRAF,EP300,9606.ENSP00000419060,9606.ENSP00000263253,0,0,0,0,0.066,0.047,0,0.622,0.634
BRAF,PIK3CA,9606.ENSP00000419060,9606.ENSP00000263967,0,0,0,0,0.128,0.190,0,0.931,0.947
BRAF,RAPGEF2,9606.ENSP00000419060,9606.ENSP00000264431,0,0,0,0,0.236,0.106,0,0.220,0.421
BRAF,STAT3,9606.ENSP00000419060,9606.ENSP00000264657,0,0,0,0,0.055,0.096,0,0.755,0.773
BRAF,EGF,9606.ENSP00000419060,9606.ENSP00000265171,0,0,0,0,0,0,0,0.651,0.651
BRAF,RASA1,9606.ENSP00000419060,9606.ENSP00000274376,0,0,0,0,0.092,0,0,0.496,0.523
BRAF,EGFR,9606.ENSP00000419060,9606.ENSP00000275493,0,0,0,0.571,0,0.255,0,0.486,0.601
BRAF,IFNA1,9606.ENSP00000419060,9606.ENSP00000276927,0,0,0,0,0.074,0,0,0.483,0.501
BRAF,RASA2,9606.ENSP00000419060,9606.ENSP00000286364,0,0,0,0,0.095,0.045,0,0.502,0.532
BRAF,ARAF,9606.ENSP00000419060,9606.ENSP00000290277,0,0,0.063,0.954,0,0.880,0.900,0.861,0.998
BRAF,STAT5B,9606.ENSP00000419060,9606.ENSP00000293328,0,0,0,0,0.075,0.096,0,0.365,0.423
BRAF,MAP2K1,9606.ENSP00000419060,9606.ENSP00000302486,0,0,0,0.580,0.119,0.996,0.900,0.983,0.999
BRAF,FOS,9606.ENSP00000419060,9606.ENSP00000306245,0,0,0,0,0,0.096,0,0.427,0.460
BRAF,PRKACA,9606.ENSP00000419060,9606.ENSP00000309591,0,0,0,0.596,0.054,0.088,0.900,0.204,0.922
BRAF,NF1,9606.ENSP00000419060,9606.ENSP00000351015,0,0,0,0,0.067,0.092,0,0.895,0.903
BRAF,RAP1A,9606.ENSP00000419060,9606.ENSP00000358723,0,0,0,0,0.081,0.720,0.900,0.624,0.989
BRAF,GRB2,9606.ENSP00000419060,9606.ENSP00000376345,0,0,0,0,0,0.100,0,0.592,0.617
BRAF,SOS 1,9606.ENSP00000419060,9606.ENSP00000384675,0,0,0,0,0.158,0.084,0,0.881,0.900
BRAF,RAF1,9606.ENSP00000419060,9606.ENSP00000401888,0,0,0.066,0.945,0,0.927,0.900,0.983,0.999
BRAF,PRKCA,9606.ENSP00000419060,9606.ENSP00000408695,0,0,0,0.574,0,0.298,0.900,0.181,0.937
BRAF,MYC,9606.ENSP00000419060,9606.ENSP00000478887,0,0,0,0,0.055,0.045,0,0.716,0.722
CACNG3,PPP2CB,9606.ENSP00000005284,9606.ENSP00000221138,0,0,0,0,0,0,0.650,0,0.650
CACNG3,PRKACA,9606.ENSP00000005284,9606.ENSP00000309591,0,0,0,0,0,0,0.650,0,0.650
CACNG3,RASGRP2,9606.ENSP00000005284,9606.ENSP00000338864,0,0,0,0,0,0,0.650,0.044,0.651
CACNG3,RASGRF1,9606.ENSP00000005284,9606.ENSP00000405963,0,0,0,0,0.144,0,0.650,0,0.687
CCND1,MAPK1,9606.ENSP00000227507,9606.ENSP00000215832,0,0,0,0,0.060,0.292,0,0.562,0.683
CCND1,PIK3R2,9606.ENSP00000227507,9606.ENSP00000222254,0,0,0,0,0.043,0,0,0.461,0.462
CCND1,NFKB1,9606.ENSP00000227507,9606.ENSP00000226574,0,0,0,0,0.060,0,0,0.661,0.668
CCND1,IL2,9606.ENSP00000227507,9606.ENSP00000226730,0,0,0,0,0,0,0,0.595,0.595
CCND1,PRKCA,9606.ENSP00000227507,9606.ENSP00000408695,0,0,0,0,0.066,0,0,0.446,0.460
CCND1,PRKACA,9606.ENSP00000227507,9606.ENSP00000309591,0,0,0,0,0.067,0,0,0.468,0.483
CCND1,IFNG,9606.ENSP00000227507,9606.ENSP00000229135,0,0,0,0,0,0,0,0.488,0.488
CCND1,FASLG,9606.ENSP00000227507,9606.ENSP00000356694,0,0,0,0,0,0,0,0.506,0.506
CCND1,PDGFRA,9606.ENSP00000227507,9606.ENSP00000257290,0,0,0,0,0.061,0,0,0.506,0.516
CCND1,JAK1,9606.ENSP00000227507,9606.ENSP00000499900,0,0,0,0,0.055,0,0,0.510,0.517
CCND1,CHUK,9606.ENSP00000227507,9606.ENSP00000359424,0,0,0,0,0.061,0,0,0.530,0.540
CCND1,NF1,9606.ENSP00000227507,9606.ENSP00000351015,0,0,0,0,0.059,0,0,0.533,0.542
CCND1,PRL,9606.ENSP00000227507,9606.ENSP00000302150,0,0,0,0,0,0,0,0.574,0.574
CCND1,RAF1,9606.ENSP00000227507,9606.ENSP00000401888,0,0,0,0,0,0,0,0.581,0.581
CCND1,STAT5B,9606.ENSP00000227507,9606.ENSP00000293328,0,0,0,0,0.059,0.091,0,0.573,0.602
CCND1,CDC25C,9606.ENSP00000227507,9606.ENSP00000321656,0,0,0,0,0.075,0,0,0.624,0.638
CCND1,GRB2,9606.ENSP00000227507,9606.ENSP00000376345,0,0,0,0,0.074,0,0,0.646,0.658
CCND1,PDGFRB,9606.ENSP00000227507,9606.ENSP00000261799,0,0,0,0,0.075,0,0,0.681,0.692
CCND1,STAT6,9606.ENSP00000227507,9606.ENSP00000300134,0,0,0,0,0.059,0.091,0.500,0.391,0.704
CCND1,PIK3CA,9606.ENSP00000227507,9606.ENSP00000263967,0,0,0,0,0,0,0,0.704,0.704
CCND1,EGF,9606.ENSP00000227507,9606.ENSP00000265171,0,0,0,0,0,0,0,0.731,0.731
CCND1,ATF2,9606.ENSP00000227507,9606.ENSP00000264110,0,0,0,0,0.055,0.292,0.500,0.327,0.744
CCND1,MAP2K1,9606.ENSP00000227507,9606.ENSP00000302486,0,0,0,0,0.059,0,0,0.746,0.751
CCND1,EGFR,9606.ENSP00000227507,9606.ENSP00000275493,0,0,0,0,0.141,0.106,0,0.809,0.841
CCND1,BRAF,9606.ENSP00000227507,9606.ENSP00000419060,0,0,0,0,0,0,0,0.864,0.864
CCND1,FOS,9606.ENSP00000227507,9606.ENSP00000306245,0,0,0,0,0.055,0.469,0.500,0.799,0.942
CCND1,CCND2,9606.ENSP00000227507,9606.ENSP00000261254,0,0,0.058,0.960,0.053,0,0.900,0.429,0.942
CCND1,MYC,9606.ENSP00000227507,9606.ENSP00000478887,0,0,0,0,0.067,0,0.400,0.950,0.969
CCND1,EP300,9606.ENSP00000227507,9606.ENSP00000263253,0,0,0,0,0,0.735,0.500,0.822,0.974
CCND1,STAT3,9606.ENSP00000227507,9606.ENSP00000264657,0,0,0,0,0.054,0.644,0.500,0.898,0.980
CCND1,CREBBP,9606.ENSP00000227507,9606.ENSP00000262367,0,0,0,0,0,0.292,0.900,0.828,0.986
CCND2,TNFRSF1A,9606.ENSP00000261254,9606.ENSP00000162749,0,0,0,0,0,0.312,0,0.174,0.407
CCND2,NFKB1,9606.ENSP00000261254,9606.ENSP00000226574,0,0,0,0,0.081,0,0,0.375,0.402
CCND2,CCND1,9606.ENSP00000261254,9606.ENSP00000227507,0,0,0.058,0.960,0.053,0,0.900,0.429,0.942
CCND2,PDGFRA,9606.ENSP00000261254,9606.ENSP00000257290,0,0,0,0,0.062,0.175,0,0.379,0.477
CCND2,FOS,9606.ENSP00000261254,9606.ENSP00000306245,0,0,0,0,0.055,0,0,0.394,0.403
CCND2,EGF,9606.ENSP00000261254,9606.ENSP00000265171,0,0,0,0,0,0,0,0.411,0.411
CCND2,STAT5B,9606.ENSP00000261254,9606.ENSP00000293328,0,0,0,0,0.067,0.091,0,0.401,0.448
CCND2,PRL,9606.ENSP00000261254,9606.ENSP00000302150,0,0,0,0,0,0,0,0.451,0.451
CCND2,SRF,9606.ENSP00000261254,9606.ENSP00000265354,0,0,0,0,0.045,0,0,0.505,0.507
CCND2,PDGFRB,9606.ENSP00000261254,9606.ENSP00000261799,0,0,0,0,0.060,0,0,0.506,0.516
CCND2,STAT3,9606.ENSP00000261254,9606.ENSP00000264657,0,0,0,0,0.061,0.091,0,0.505,0.541
CCND2,MAP2K1,9606.ENSP00000261254,9606.ENSP00000302486,0,0,0,0,0.059,0,0,0.540,0.549
CCND2,EP300,9606.ENSP00000261254,9606.ENSP00000263253,0,0,0,0,0,0,0,0.557,0.557
CCND2,PIK3CA,9606.ENSP00000261254,9606.ENSP00000263967,0,0,0,0,0,0.225,0,0.486,0.584
CCND2,CDC25C,9606.ENSP00000261254,9606.ENSP00000321656,0,0,0,0,0.055,0,0,0.594,0.600
CCND2,BRAF,9606.ENSP00000261254,9606.ENSP00000419060,0,0,0,0,0,0,0,0.600,0.600
CCND2,EGFR,9606.ENSP00000261254,9606.ENSP00000275493,0,0,0,0,0,0.045,0,0.626,0.628
CCND2,MYC,9606.ENSP00000261254,9606.ENSP00000478887,0,0,0,0,0.050,0,0,0.699,0.701
CDC25C,MAPK1,9606.ENSP00000321656,9606.ENSP00000215832,0,0,0,0,0,0.418,0,0.279,0.563
CDC25C,CCND1,9606.ENSP00000321656,9606.ENSP00000227507,0,0,0,0,0.075,0,0,0.624,0.638
CDC25C,CCND2,9606.ENSP00000321656,9606.ENSP00000261254,0,0,0,0,0.055,0,0,0.594,0.600
CDC25C,EGFR,9606.ENSP00000321656,9606.ENSP00000275493,0,0,0,0,0.045,0.628,0,0.410,0.772
CDC25C,MAP2K1,9606.ENSP00000321656,9606.ENSP00000302486,0,0,0,0,0,0.199,0,0.305,0.419
CDC25C,PRKACA,9606.ENSP00000321656,9606.ENSP00000309591,0,0,0,0,0,0,0.900,0.183,0.914
CDC25C,MYC,9606.ENSP00000321656,9606.ENSP00000478887,0,0,0,0,0.080,0.053,0,0.474,0.501
CHUK,TNFRSF1A,9606.ENSP00000359424,9606.ENSP00000162749,0,0,0,0,0.086,0.994,0.500,0.852,0.999
CHUK,NFKB1,9606.ENSP00000359424,9606.ENSP00000226574,0,0,0,0,0.088,0.854,0.900,0.966,0.999
CHUK,IL2,9606.ENSP00000359424,9606.ENSP00000226730,0,0,0,0,0,0,0,0.414,0.414
CHUK,CCND1,9606.ENSP00000359424,9606.ENSP00000227507,0,0,0,0,0.061,0,0,0.530,0.540
CHUK,IFNG,9606.ENSP00000359424,9606.ENSP00000229135,0,0,0,0,0.049,0,0,0.514,0.518
CHUK,IL4,9606.ENSP00000359424,9606.ENSP00000231449,0,0,0,0,0,0,0,0.408,0.408
CHUK,DUSP1,9606.ENSP00000359424,9606.ENSP00000239223,0,0,0,0,0.055,0.329,0,0.255,0.487
CHUK,CREBBP,9606.ENSP00000359424,9606.ENSP00000262367,0,0,0,0,0.066,0.738,0,0.336,0.824
CHUK,PIAS4,9606.ENSP00000359424,9606.ENSP00000262971,0,0,0,0,0.071,0.066,0,0.615,0.637
CHUK,EP300,9606.ENSP00000359424,9606.ENSP00000263253,0,0,0,0,0.069,0.230,0,0.668,0.742
CHUK,PIK3CA,9606.ENSP00000359424,9606.ENSP00000263967,0,0,0,0,0.347,0.069,0,0.288,0.529
CHUK,STAT3,9606.ENSP00000359424,9606.ENSP00000264657,0,0,0,0,0.091,0.096,0,0.596,0.639
CHUK,EGF,9606.ENSP00000359424,9606.ENSP00000265171,0,0,0,0,0,0,0,0.404,0.404
CHUK,IFNAR1,9606.ENSP00000359424,9606.ENSP00000270139,0,0,0,0,0.083,0.046,0,0.370,0.401
CHUK,EGFR,9606.ENSP00000359424,9606.ENSP00000275493,0,0,0,0,0.042,0.091,0,0.452,0.481
CHUK,IFNA1,9606.ENSP00000359424,9606.ENSP00000276927,0,0,0,0,0.054,0,0,0.484,0.491
CHUK,PPM1B,9606.ENSP00000359424,9606.ENSP00000282412,0,0,0,0,0.276,0.699,0,0.287,0.831
CHUK,MAP2K1,9606.ENSP00000359424,9606.ENSP00000302486,0,0,0.108,0.602,0.147,0.161,0,0.217,0.434
CHUK,PYDC1,9606.ENSP00000359424,9606.ENSP00000304336,0,0,0,0,0,0.095,0.540,0.486,0.767
CHUK,FOS,9606.ENSP00000359424,9606.ENSP00000306245,0,0,0,0,0.056,0.096,0,0.456,0.495
CHUK,SOS 1,9606.ENSP00000359424,9606.ENSP00000384675,0,0,0,0,0.264,0.084,0,0.214,0.424
CHUK,PRKCA,9606.ENSP00000359424,9606.ENSP00000408695,0,0,0,0.571,0.063,0.298,0,0.486,0.633
CHUK,MYC,9606.ENSP00000359424,9606.ENSP00000478887,0,0,0,0,0.049,0.542,0,0.746,0.879
CHUK,MAP3K14,9606.ENSP00000359424,9606.ENSP00000482657,0,0,0,0.556,0.063,0.924,0.900,0.710,0.997
CREBBP,TNFRSF1A,9606.ENSP00000262367,9606.ENSP00000162749,0,0,0,0,0.056,0,0,0.486,0.494
CREBBP,MAPK1,9606.ENSP00000262367,9606.ENSP00000215832,0,0,0,0,0.082,0.510,0,0.598,0.803
CREBBP,NFKB1,9606.ENSP00000262367,9606.ENSP00000226574,0,0,0,0,0.060,0,0.500,0.830,0.913
CREBBP,CCND1,9606.ENSP00000262367,9606.ENSP00000227507,0,0,0,0,0,0.292,0.900,0.828,0.986
CREBBP,IFNA7,9606.ENSP00000262367,9606.ENSP00000239347,0,0,0,0,0,0,0.500,0.104,0.532
CREBBP,EPO,9606.ENSP00000262367,9606.ENSP00000252723,0,0,0,0,0,0,0.500,0.254,0.611
CREBBP,MAPT,9606.ENSP00000262367,9606.ENSP00000340820,0,0,0,0,0,0.292,0,0.218,0.422
CREBBP,BRAF,9606.ENSP00000262367,9606.ENSP00000419060,0,0,0,0,0.062,0.047,0,0.449,0.465
CREBBP,JAK1,9606.ENSP00000262367,9606.ENSP00000499900,0,0,0,0,0.157,0.047,0,0.395,0.472
CREBBP,GRB2,9606.ENSP00000262367,9606.ENSP00000376345,0,0,0,0,0.066,0,0,0.513,0.525
CREBBP,NF1,9606.ENSP00000262367,9606.ENSP00000351015,0,0,0,0,0.171,0,0,0.476,0.547
CREBBP,SOS 1,9606.ENSP00000262367,9606.ENSP00000384675,0,0,0,0,0.163,0,0,0.485,0.551
CREBBP,CSF2,9606.ENSP00000262367,9606.ENSP00000296871,0,0,0,0,0,0,0.500,0.199,0.582
CREBBP,IFNA1,9606.ENSP00000262367,9606.ENSP00000276927,0,0,0,0,0,0,0.500,0.290,0.629
CREBBP,EGFR,9606.ENSP00000262367,9606.ENSP00000275493,0,0,0,0,0.042,0.071,0,0.642,0.653
CREBBP,SRF,9606.ENSP00000262367,9606.ENSP00000265354,0,0,0,0,0.095,0.510,0,0.345,0.684
CREBBP,PIK3CA,9606.ENSP00000262367,9606.ENSP00000263967,0,0,0,0,0.092,0,0,0.680,0.697
CREBBP,CHUK,9606.ENSP00000262367,9606.ENSP00000359424,0,0,0,0,0.066,0.738,0,0.336,0.824
CREBBP,PRKACA,9606.ENSP00000262367,9606.ENSP00000309591,0,0,0,0,0.042,0,0.650,0.549,0.835
CREBBP,STAT5B,9606.ENSP00000262367,9606.ENSP00000293328,0,0,0,0,0.098,0.294,0.650,0.740,0.934
CREBBP,STAT3,9606.ENSP00000262367,9606.ENSP00000264657,0,0,0,0,0.063,0.512,0.650,0.645,0.935
CREBBP,FOS,9606.ENSP00000262367,9606.ENSP00000306245,0,0,0,0,0.067,0.630,0,0.848,0.943
CREBBP,MYC,9606.ENSP00000262367,9606.ENSP00000478887,0,0,0,0,0.086,0.583,0.500,0.746,0.945
CREBBP,STAT6,9606.ENSP00000262367,9606.ENSP00000300134,0,0,0,0,0.049,0.718,0.650,0.604,0.957
CREBBP,ATF4,9606.ENSP00000262367,9606.ENSP00000336790,0,0,0,0,0.042,0.783,0.900,0.478,0.987
CREBBP,ATF2,9606.ENSP00000262367,9606.ENSP00000264110,0,0,0,0,0.094,0.820,0.800,0.795,0.992
CREBBP,EP300,9606.ENSP00000262367,9606.ENSP00000263253,0,0,0.062,0.956,0.839,0.782,0.900,0.983,0.999
CSF1R,EPOR,9606.ENSP00000286301,9606.ENSP00000222139,0,0,0,0,0,0,0,0.447,0.447
CSF1R,PIK3R2,9606.ENSP00000286301,9606.ENSP00000222254,0,0,0,0,0.057,0.355,0,0.108,0.410
CSF1R,CSF3,9606.ENSP00000286301,9606.ENSP00000225474,0,0,0,0,0,0,0,0.873,0.873
CSF1R,NFKB1,9606.ENSP00000286301,9606.ENSP00000226574,0,0,0,0,0.122,0,0,0.401,0.452
CSF1R,IL2,9606.ENSP00000286301,9606.ENSP00000226730,0,0,0,0,0,0,0,0.646,0.646
CSF1R,IL10RA,9606.ENSP00000286301,9606.ENSP00000227752,0,0,0,0,0.413,0,0,0.533,0.714
CSF1R,IFNG,9606.ENSP00000286301,9606.ENSP00000229135,0,0,0,0,0.075,0,0,0.626,0.640
CSF1R,IL4,9606.ENSP00000286301,9606.ENSP00000231449,0,0,0,0,0,0,0,0.608,0.608
CSF1R,IL5,9606.ENSP00000286301,9606.ENSP00000231454,0,0,0,0,0.051,0,0,0.534,0.538
CSF1R,PDGFRB,9606.ENSP00000286301,9606.ENSP00000261799,0,0,0.096,0.809,0.130,0.365,0,0.227,0.563
CSF1R,IL7,9606.ENSP00000286301,9606.ENSP00000263851,0,0,0,0,0.075,0,0,0.382,0.404
CSF1R,PIK3CA,9606.ENSP00000286301,9606.ENSP00000263967,0,0,0,0,0.106,0.325,0.500,0.478,0.821
CSF1R,STAT3,9606.ENSP00000286301,9606.ENSP00000264657,0,0,0,0,0.071,0.095,0.500,0.570,0.795
CSF1R,EGF,9606.ENSP00000286301,9606.ENSP00000265171,0,0,0,0,0,0,0.650,0.484,0.811
CSF1R,RASA1,9606.ENSP00000286301,9606.ENSP00000274376,0,0,0,0,0.065,0.088,0,0.403,0.446
CSF1R,EGFR,9606.ENSP00000286301,9606.ENSP00000275493,0,0,0,0.573,0,0.101,0,0.677,0.697
CSF1R,IFNA1,9606.ENSP00000286301,9606.ENSP00000276927,0,0,0,0,0.054,0,0,0.418,0.425
CSF1R,IL15,9606.ENSP00000286301,9606.ENSP00000296545,0,0,0,0,0.167,0,0,0.371,0.453
CSF1R,STAT5B,9606.ENSP00000286301,9606.ENSP00000293328,0,0,0,0,0.068,0.079,0,0.432,0.469
CSF1R,STAT6,9606.ENSP00000286301,9606.ENSP00000300134,0,0,0,0,0.135,0.079,0,0.417,0.495
CSF1R,MYC,9606.ENSP00000286301,9606.ENSP00000478887,0,0,0,0,0.083,0,0,0.474,0.497
CSF1R,IL13,9606.ENSP00000286301,9606.ENSP00000304915,0,0,0,0,0,0,0,0.507,0.507
CSF1R,FASLG,9606.ENSP00000286301,9606.ENSP00000356694,0,0,0,0,0.085,0,0,0.544,0.565
CSF1R,SOS 1,9606.ENSP00000286301,9606.ENSP00000384675,0,0,0,0,0.055,0.314,0.500,0.170,0.695
CSF1R,FOS,9606.ENSP00000286301,9606.ENSP00000306245,0,0,0,0,0.067,0,0,0.694,0.703
CSF1R,IL3,9606.ENSP00000286301,9606.ENSP00000296870,0,0,0,0,0.051,0,0,0.838,0.839
CSF1R,GRB2,9606.ENSP00000286301,9606.ENSP00000376345,0,0,0,0,0.108,0.653,0.650,0.600,0.950
CSF1R,CSF2,9606.ENSP00000286301,9606.ENSP00000296871,0,0,0,0,0,0,0,0.974,0.974
CSF2,TNFRSF1A,9606.ENSP00000296871,9606.ENSP00000162749,0,0,0,0,0,0,0,0.542,0.542
CSF2,OSM,9606.ENSP00000296871,9606.ENSP00000215781,0,0,0,0,0.099,0,0,0.480,0.511
CSF2,MAPK1,9606.ENSP00000296871,9606.ENSP00000215832,0,0,0,0,0.056,0,0,0.457,0.465
CSF2,IL2RB,9606.ENSP00000296871,9606.ENSP00000216223,0,0,0,0,0.056,0,0.650,0.556,0.840
CSF2,EPOR,9606.ENSP00000296871,9606.ENSP00000222139,0,0,0,0,0,0,0.650,0.620,0.861
CSF2,PIK3R2,9606.ENSP00000296871,9606.ENSP00000222254,0,0,0,0,0,0,0.400,0.107,0.441
CSF2,CSF3,9606.ENSP00000296871,9606.ENSP00000225474,0,0,0,0,0.400,0,0.400,0.998,0.999
CSF2,NFKB1,9606.ENSP00000296871,9606.ENSP00000226574,0,0,0,0,0.072,0,0,0.722,0.730
CSF2,IL2,9606.ENSP00000296871,9606.ENSP00000226730,0,0,0,0,0.167,0,0.400,0.996,0.997
CSF2,IL10RA,9606.ENSP00000296871,9606.ENSP00000227752,0,0,0,0,0,0,0.650,0.445,0.797
CSF2,IL23A,9606.ENSP00000296871,9606.ENSP00000228534,0,0,0,0,0.274,0,0,0.541,0.652
CSF2,IFNG,9606.ENSP00000296871,9606.ENSP00000229135,0,0,0,0,0.181,0,0,0.981,0.984
CSF2,IL12B,9606.ENSP00000296871,9606.ENSP00000231228,0,0,0,0,0.167,0,0.400,0.361,0.653
CSF2,IL4,9606.ENSP00000296871,9606.ENSP00000231449,0,0,0,0,0.152,0,0,0.958,0.963
CSF2,IL5,9606.ENSP00000296871,9606.ENSP00000231454,0,0,0,0,0.168,0,0.400,0.988,0.993
CSF2,IFNA7,9606.ENSP00000296871,9606.ENSP00000239347,0,0,0,0,0.054,0,0,0.505,0.511
CSF2,IL9R,9606.ENSP00000296871,9606.ENSP00000244174,0,0,0,0,0.042,0,0.650,0.224,0.717
CSF2,LIF,9606.ENSP00000296871,9606.ENSP00000249075,0,0,0,0,0.209,0,0.400,0.574,0.780
